,SMILES,sp3,n_rings,h_don,h_acc,similarity
0,C=C(C)CN(Cc1ccc(CO)o1)C(=O)Cn1ccc(Br)cc1=O,0.29411764705882354,2,1,6,0.1
1,CC(=O)N(CC1CCCN1c1ccc(S(N)(=O)=O)cn1)c1ccc(Br)cc1,0.3333333333333333,3,2,7,0.10714285714285714
2,CC(=O)N1CCC(NC(=O)c2nn(-c3ccc(F)cc3)cc2C)C1,0.35294117647058826,3,1,6,0.07317073170731707
3,CC(=O)N1CCCC(c2n[nH]c(S(=O)(=O)Cc3ccc(Br)cc3)n2)C1,0.4375,3,1,7,0.10975609756097561
4,CC(=O)NC1(C(=O)Nc2nc(-c3ccc(Br)cc3)n[nH]2)CCCCC1,0.4117647058823529,3,3,7,0.10256410256410256
5,CC(=O)NCC(C)(C)C(=O)Nc1cc(-c2ccc(Br)o2)nc2ccnn12,0.29411764705882354,3,2,8,0.09411764705882353
6,CC(=O)NCC1CCn2ncc(C(=O)N3CCc4ncsc4C3)c2C1,0.5294117647058824,4,1,7,0.0898876404494382
7,CC(=O)NCC1CCn2ncc(C(=O)NCc3ccc(Br)o3)c2C1,0.4375,3,2,7,0.09411764705882353
8,CC(=O)NCC1CCn2ncc(C(=O)NCc3ccc(C)n(C)c3=O)c2C1,0.47368421052631576,3,2,8,0.09195402298850575
9,CC(=O)NCC1CCn2ncc(C(=O)NCc3cnc(C)s3)c2C1,0.5,3,2,7,0.08139534883720931
10,CC(=O)NCC1CCn2ncc(C(=O)NCc3cnc4n3CCCC4)c2C1,0.5789473684210527,4,2,8,0.0898876404494382
13,CCCc1ccc(S(=O)(=O)NCC(N)c2ccc(OC)nc2)cc1,0.35294117647058826,2,3,6,0.13157894736842105
14,CCN(C(=O)c1coc(CN2CCCC2=O)c1)C1CCOc2ccc(Br)cc21,0.42857142857142855,4,0,6,0.09782608695652174
15,CCN(CC)C(=O)C(Cc1c[nH]c2ccccc12)N1CCC(=O)NO1,0.4444444444444444,3,2,7,0.10975609756097561
16,CCN(CCc1cccc(F)c1)C(=O)c1cn(CC(=O)N(C)C)nn1,0.4117647058823529,2,0,7,0.18181818181818182
17,CCN(CCc1nccs1)C(=O)C(=O)N=c1ccn(C(C)C)[nH]1,0.4666666666666667,2,1,7,0.09523809523809523
18,CCN(c1ccc(Br)cn1)c1ccc(C(=O)N2CCC(C(N)=O)CC2)cn1,0.3684210526315789,3,2,7,0.11392405063291139
19,CCNC(=O)CC(=O)Nc1nnc(C=Cc2ccco2)s1,0.23076923076923078,2,2,7,0.1038961038961039
